Mon	B	Mod	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	Comments
-7	A	+	0	1	2	3	4	5	6	7	8	9	10	Default Lvl 7 Attack +1/Rank
-7	D	+	0	1	2	3	4	5	6	7	8	9	10	Default Lvl 7 Defense +1/Rank
-7	M	+	0	1	2	3	4	5	6	7	8	9	10	Default Lvl 7 Max. Damage +1/Rank
-7	m	+	0	1	2	3	4	5	6	7	8	9	10	Default Lvl 7 Min. Damage +1/Rank
0	S	+	0	0	0	0	1	1	1	1	1	1	1	Pikeman: Speed R4
1	S	+	0	0	0	0	1	1	1	1	1	1	1	Halberdier: Speed R4
1	L	#64	0	2	4	6	8	10	12	14	16	18	20	Halberdier: Deflect 65% of dmg. 2% chance/Rank
2	S	+	0	0	0	0	1	1	1	1	1	1	1	Archer: Speed R4
2	b	=	0	2	4	6	8	10	12	14	16	18	20	Archer: Reduce Defense 2%/Rank
3	S	+	0	0	0	0	1	1	1	1	1	1	2	Marksman: Speed R4/R10
3	o	=	0	0	0	0	0	1	1	1	1	1	1	Marksman: No Obstacle Penalty R5
3	b	=	0	4	8	12	16	20	24	28	32	36	40	Marksman: Reduce Defense 4%/Rank
4	S	+	0	0	0	0	1	1	1	1	1	1	2	Griffin Speed: R4/R10
4	d	+	0	2	4	6	8	10	12	14	16	18	20	Griffin: Defending Bonus +2/Rank
5	S	+	0	0	0	0	1	1	1	1	1	1	2	Royal Griffin: Speed R4/R10
5	d	+	0	4	8	12	16	20	24	28	32	36	40	Royal Griffin: Defending Bonus +4/Rank
6	S	+	0	0	0	0	1	1	1	1	1	1	1	Swordsman: Speed R4
7	S	+	0	0	0	0	1	1	1	1	1	1	2	Crusader: Speed R4/R10
7	h	#63	0	1	2	3	4	5	6	7	8	9	10	Crusader: Hatred Dmg-Vampire Lord
8	S	+	0	0	0	0	1	1	1	1	1	1	1	Monk: Speed R4
8	w	m	0	0	0	0	0	0	0	0	0	0	1	Monk: Immune to Hostile Mind Spells R3
9	S	+	0	0	0	0	1	1	1	1	1	1	2	Zealot: Speed R4/R10
9	w	m	0	0	0	0	0	0	0	0	0	0	1	Zealot: Immune to Hostile Mind Spells R3
9	g	%	0	3	6	9	12	15	18	21	24	27	30	Zealot: Reduced Spell Damage 3%/Rank
10	S	+	0	0	0	0	1	1	1	1	1	1	2	Cavalier: Speed 40/100%
10	s	#55	0	0	0	0	0	0	0	1	2	3	3	Cavalier: Slayer R7/R8/R9
11	S	+	0	0	0	0	1	1	1	1	1	1	2	Champion: Speed R4/R10
11	s	#55	0	0	0	0	0	0	0	1	2	3	3	Champion: Slayer R7/R8/R9
11	f	f	0	0	0	0	0	0	0	0	0	0	1	Champion: Fearless R3
12	S	+	0	0	0	0	1	1	2	2	2	2	3	Angel: Speed R4/R6/R10
12	w	W	0	0	0	0	0	0	0	0	0	0	1	Angel: Immune to Hostile Water Spells R7
13	S	+	0	0	0	0	1	1	2	2	2	2	3	Archangel: Speed R4/R6/R10
13	P	+	0	0	0	0	0	0	0	0	0	0	1	Archangel: Extra Resurrection R7
150	S	+	0	0	0	0	1	1	2	2	3	3	4	Supreme Archangel: Speed R4/R6/R8/R10
150	w	R	0	0	0	0	0	0	0	0	0	0	1	Supreme Archangel: Immune to Armageddon R3
150	P	+	0	0	0	0	0	0	0	0	0	1	2	Supreme Archangel: Extra Resurrection R7
14	A	+	0	0	1	1	1	1	2	2	3	3	3	Centaur: Attack R2/R6/R8
14	D	+	0	0	0	1	1	1	1	1	1	1	1	Centaur: Defense R3
14	M	+	0	1	1	1	1	2	2	2	2	2	2	Centaur: Max. Damage R1/R5
14	m	+	0	0	0	0	0	1	1	1	1	2	2	Centaur: Min. Damage R5/R9
14	S	+	0	0	0	0	1	1	1	1	1	1	2	Centaur: Speed R4/R10
14	h	#98	0	2	4	6	8	10	12	14	16	18	20	Centaur: Hatred Dmg-Gnoll
15	A	+	0	0	0	1	1	1	2	2	2	2	2	Centaur Captain: Attack R3/R6
15	D	+	0	1	1	1	1	1	1	2	2	3	4	Centaur Captain: Defense R1/R7/R9/R10
15	M	+	0	0	0	0	0	1	1	1	2	2	2	Centaur Captain: Max. Damage R5/R8
15	m	+	0	0	1	1	1	1	1	1	1	1	1	Centaur Captain: Min. Damage R2
15	S	+	0	0	0	0	1	1	1	1	1	1	2	Centaur Captain: Speed R4/R10
15	f	c	0	0	0	0	0	0	0	0	0	0	1	Centaur Captain: Charge Bonus R7
15	h	#99	0	2	4	6	8	10	12	14	16	18	20	Centaur Captain: Hatred Dmg-Gnoll Marauder
16	H	%	0	6	12	18	24	30	36	42	48	54	60	Dwarf: Health 6%/Rank (instead of 5%)
16	A	+	0	0	1	1	1	2	2	3	3	3	3	Dwarf: Attack R2/R5/R7
16	D	+	0	1	1	1	1	1	3	3	3	4	4	Dwarf: Defense R1/R6/R9
16	M	+	0	0	0	1	1	1	1	2	3	3	3	Dwarf: Max. Damage R3/R7/R8
16	m	+	0	0	0	0	1	1	1	2	2	3	3	Dwarf: Min. Damage R4/R7/R9
16	S	+	0	0	0	0	1	1	1	1	1	1	2	Dwarf: Speed R4/R10
16	s	#27	0	0	0	0	0	0	0	0	1	1	2	Dwarf: Shield R7/R10
17	H	%	0	7	14	21	28	35	42	49	56	63	70	Battle Dwarf: Health 7%/Rank (instead of 5%)
17	A	+	0	0	1	1	2	2	2	3	4	4	5	Battle Dwarf: Attack R2/R4/R7/R8/R10
17	D	+	0	1	1	1	1	1	2	2	3	4	4	Battle Dwarf: Defense R1/R6/R8/R9
17	M	+	0	0	0	1	1	2	2	2	3	3	3	Battle Dwarf: Max. Damage R3/R5/R8
17	m	+	0	0	0	1	1	2	2	3	3	3	3	Battle Dwarf: Min. Damage R3/R5/R7
17	S	+	0	0	0	0	1	1	1	1	1	1	1	Battle Dwarf: Speed R4
17	W	+	0	4	8	12	16	20	24	28	32	36	40	Battle Dwarf: Magic Resistance +4%/Rank
18	A	+	0	2	2	2	3	3	4	4	4	5	5	Wood Elf: Attack R1/R4/R6/R9
18	D	+	0	0	1	1	1	1	1	3	3	3	3	Wood Elf: Defense: R2/R7
18	M	+	0	0	1	2	2	4	4	4	5	6	6	Wood Elf: Max. Damage R2/R3/R5/R8/R9
18	m	+	0	0	0	1	1	1	2	2	4	4	4	Wood Elf: Min. Damage R3/R6/R8
18	S	+	0	0	0	0	1	1	1	2	2	2	3	Wood Elf: Speed R4/R7/R10
18	i	=	0	0	0	0	0	0	0	0	0	0	1	Wood Elf: No Range Penalty R5
19	A	+	0	1	2	2	2	3	3	3	4	4	4	Grand Elf: Attack R1/R2/R5/R8
19	D	+	0	1	1	3	3	3	4	4	5	5	6	Grand Elf: Defense R1/R3/R6/R8/R10
19	M	+	0	0	1	1	1	1	2	2	3	4	5	Grand Elf: Max. Damage R2/R6/R8/R9/R10
19	m	+	0	0	0	0	2	2	3	3	4	5	5	Grand Elf: Min. Damage R4/R6/R8/R9
19	S	+	0	0	0	0	1	1	1	1	1	1	2	Grand Elf: Speed R4/R10
19	w	m	0	0	0	0	0	0	0	0	0	0	1	Grand Elf: Immune to Hostile Mind Spells R7
20	A	+	0	2	2	2	2	3	4	5	6	7	8	Pegasus: Attack R1/R5/R6/R7/R8/R9/R10
20	D	+	0	0	1	1	3	3	4	4	5	5	7	Pegasus: Defense R2/R4/R6/R8/R10
20	M	+	0	0	1	2	2	2	2	3	3	4	4	Pegasus: Max. Damage R2/R3/R7/R9
20	m	+	0	0	1	1	2	2	2	3	3	3	3	Pegasus: Min. Damage R2/R4/R7
20	S	+	0	0	0	0	1	1	1	2	2	2	3	Pegasus: Speed R4/R7/R10
20	f	D	2	2	2	2	2	2	2	2	2	2	1	Pegasus: Double Strike R7
21	A	+	0	0	1	2	2	2	4	4	5	7	7	Silver Pegasus: Attack R2/R3/R6/R8/R9
21	D	+	0	2	2	2	3	3	4	4	5	5	7	Silver Pegasus: Defense R1/R4/R6/R8/R10
21	M	+	0	0	2	2	2	4	4	4	5	5	5	Silver Pegasus: Max. Damage R2/R5/R8
21	m	+	0	0	0	1	1	2	2	4	4	5	5	Silver Pegasus: Min. Damage R3/R5/R7/R9
21	S	+	0	0	0	0	1	1	2	2	2	2	3	Silver Pegasus: Speed R4/R6/R10
21	f	b	0	0	0	0	0	0	0	0	0	0	1	Silver Pegasus: Attack & Return R5
22	A	+	0	0	1	2	2	4	4	5	5	6	7	Dendroid Guard: Attack R2/R3/R5/R7/R9/R10
22	D	+	0	2	3	3	4	4	7	7	9	9	10	Dendroid Guard: Defense R1/R2/R4/R6/R8/R10
22	M	+	0	1	2	2	3	3	3	3	4	5	6	Dendroid Guard: Max. Damage R1/R2/R4/R8/R9/R10
22	m	+	0	0	2	2	2	4	4	6	6	7	7	Dendroid Guard: Min. Damage R2/R5/R7/R9
22	S	+	0	0	0	0	1	1	1	1	1	1	1	Dendroid Guard: Speed R4
22	r	#100	0	5	10	15	20	25	30	35	40	45	50	Dendroid Guard: Regeneration 5 Health/Rank 100%
23	A	+	0	2	3	3	4	6	6	7	7	7	9	Dendroid Soldier: Attack R1/R2/R4/R5/R7/R10
23	D	+	0	1	1	2	3	4	5	6	6	8	8	Dendroid Soldier: Defense R1/R3/R4/R5/R6/R7/R9
23	M	+	0	0	2	2	2	2	3	4	6	6	6	Dendroid Soldier: Max. Damage R2/R6/R7/R8
23	m	+	0	0	0	2	2	2	4	4	5	5	5	Dendroid Soldier: Min. Damage R3/R6/R8
23	S	+	0	0	0	0	0	1	1	1	1	1	2	Dendroid Soldier: Speed R5/R10
23	w	E	0	0	0	0	0	0	0	0	0	0	1	Dendroid Soldier: Immune to Hostile Earth Spells R10
24	A	+	0	0	2	2	4	4	4	6	7	9	9	Unicorn: Attack R2/R4/R7/R8/R9
24	D	+	0	3	3	4	4	6	8	8	9	10	10	Unicorn: Defense R1/R3/R5/R6/R8/R9
24	M	+	0	0	1	3	3	3	3	5	6	6	8	Unicorn: Max. Damage R2/R3/R7/R8/R10
24	m	+	0	0	1	1	1	3	4	4	5	6	8	Unicorn: Min. Damage R2/R5/R6/R8/R9/R10
24	S	+	0	0	0	0	1	1	1	1	1	1	2	Unicorn: Speed R4/R10
24	p	#37	0	0	0	5	5	10	10	15	15	15	20	Unicorn: Mass Cure pre-attack 5%-20% chance
25	A	+	0	1	2	2	2	4	7	7	9	10	11	War Unicorn: Attack R1/R2/R5/R6/R8/R9/R10
25	D	+	0	1	1	3	3	5	5	5	6	6	8	War Unicorn: Defense R1/R3/R5/R8/R10
25	M	+	0	0	2	2	4	4	4	6	7	9	9	War Unicorn: Max. Damage R2/R4/R7/R8/R9
25	m	+	0	1	2	4	4	4	4	6	6	7	7	War Unicorn: Min. Damage R1/R2/R3/R7/R9
25	S	+	0	0	0	0	1	1	1	1	1	1	2	War Unicorn: Speed R4/R10
25	a	#62	0	0	5	5	10	10	15	15	20	25	30	War Unicorn: Blind bonus R2/R4/R6/R8/R9/R10
26	A	+	0	1	2	2	4	5	5	7	7	7	9	Green Dragon: Attack R1/R2/R4/R5/R7/R10
26	D	+	0	2	2	4	4	7	7	9	9	11	11	Green Dragon: Defense R1/R3/R5/R7/R9
26	M	+	0	1	3	4	5	5	7	7	9	11	11	Green Dragon: Max. Damage R1/R2/R3/R4/R6/R8/R9
26	m	+	0	0	1	2	2	2	3	4	6	7	9	Green Dragon: Min. Damage R2/R3/R6/R7/R8/R9/R10
26	S	+	0	0	0	0	1	1	2	2	2	2	3	Green Dragon: Speed R4/R6/R10
26	w	0	0	0	0	0	0	0	0	1	1	1	1	Green Dragon: No Immunity to Beneficial Spells R7
27	A	+	0	1	2	2	4	5	7	7	9	11	12	Gold Dragon: Attack R1/R2/R4/R5/R6/R8/R9/R10
27	D	+	0	1	1	3	3	5	5	7	7	8	9	Gold Dragon: Defense R1/R3/R5/R7/R9/R10
27	M	+	0	1	3	4	4	5	7	7	9	9	9	Gold Dragon: Max. Damage R1/R2/R3/R5/R6/R8
27	m	+	0	1	2	3	4	5	5	7	7	8	10	Gold Dragon: Min. Dmg R1/R2/R3/R4/R5/R7/R9/R10
27	S	+	0	0	0	0	1	1	2	2	2	2	3	Gold Dragon: Speed R4/R6/R10
27	w	0	0	0	0	0	0	0	0	0	1	1	1	Gold Dragon: No Immunity to Beneficial Spells R7
192	S	+	0	0	0	0	1	1	1	1	1	1	2	Sylvan Centaurs: Speed R4/R10
192	w	1	0	0	0	0	0	0	0	0	0	0	1	Sylvan Centaur: Immune to Hostile L1 Spells R6
151	S	+	0	0	0	0	1	1	2	2	2	2	3	Diamond Dragon: Speed R4/R6/R10
151	w	0	0	0	0	0	0	0	0	0	0	0	1	Diamond Dragon: No Immunity to Friendly Spells R9
28	S	+	0	0	0	0	1	1	1	1	1	1	1	Gremlin: Speed R4
28	J	#11	0	5	10	15	20	25	30	35	40	45	50	Gremlin: Landmine pre-attack 5%/Rank
29	S	+	0	0	0	0	1	1	1	1	1	1	1	Master Gremlin: Speed R4
29	J	#11	0	5	10	15	20	25	30	35	40	45	50	Master Gremlin: Landmine pre-attack 5%/Rank
30	S	+	0	0	0	0	1	1	1	1	1	1	2	Stone Gargoyle: Speed R4/R10
30	w	E	0	0	0	0	0	0	0	0	0	1	1	Stone Gargoyle: Immune to Hostile Earth Spells R7
31	S	+	0	0	0	0	1	1	1	1	1	1	2	Obsidian Gargoyle: Speed R4/R10
31	s	#46	0	0	0	0	0	0	1	1	2	2	5	"Obsidian Gargoyle: Stone Skin R3/R5, Mass R9"
31	w	E	0	0	0	0	0	0	0	0	0	0	1	Obsidian Gargoyle: Immune to Hostile Earth Spells R7
32	S	+	0	0	0	0	1	1	1	1	1	1	1	Stone Golem: Speed R4
32	g	%	50	54	58	62	66	70	74	78	82	86	90	Stone Golem: Reduced Spell Damage +4%/Rank
33	S	+	0	0	0	0	1	1	1	1	1	1	1	Iron Golem: Speed R4
33	g	%	75	77	79	81	83	85	87	89	91	93	95	Iron Golems: Reduced Spell Damage +2%/Rank
34	S	+	0	0	0	0	1	1	1	1	1	1	1	Mage: Speed R4
34	C	+	0	0	0	0	0	1	1	2	2	3	4	Mage: Mana Reduction R5/R7/R9/R10
35	S	+	0	0	0	0	1	1	1	1	1	1	2	Arch Mage: Speed R40/R10
35	C	+	0	0	0	0	0	1	1	2	2	3	4	Arch Mage: Mana Reduction R5/R7/R9/R10
36	S	+	0	0	0	0	1	1	1	1	1	1	2	Genie: Speed R4/R10
36	w	B	0	0	0	0	0	0	0	0	0	0	1	Genie: Blind Immunity R3
37	S	+	0	0	0	0	1	1	2	2	2	2	3	Master Genie: Speed at 40/60/100%
37	P	+	0	0	0	0	0	1	1	2	2	3	3	Master Genie: Increased # of Spells R5/R7/R9
37	w	B	0	0	0	0	0	0	0	0	1	1	1	Master Genie: Blind Immunity R3
37	w	K	0	0	0	0	0	0	0	0	0	0	1	Master Genie: Berserk Immunity R7
38	S	+	0	0	0	0	1	1	1	1	1	1	1	Naga: Speed R4
38	R	+	0	0	0	0	1	1	1	2	2	3	4	Naga: Extra Retals R5/R7/R9/R10
39	S	+	0	0	0	0	1	1	1	1	1	1	2	Naga Queen: Speed R4/R10
39	R	+	0	0	0	0	0	1	1	2	3	4	5	Naga Queen: Extra Retals R5/R7/R9/R10
39	e	+	0	1	2	3	4	5	10	15	20	25	30	Naga Queen: 2 x Dmg Death Blow (30% R10)
40	S	+	0	0	0	0	1	1	1	1	1	1	2	Giant: Speed R4/R10
40	w	A	0	0	0	0	0	0	0	0	0	0	1	Giant: Hostile Air Spell Immunity R5
41	S	+	0	0	0	0	1	1	2	2	2	2	3	Titan: Speed R4/R6/R10
41	w	A	0	0	0	0	0	0	0	0	1	1	1	Titan: Immune to Hostile Air Spells R5
41	w	0	0	0	0	0	0	0	0	0	0	0	1	Titan: No Immunity to Beneficial Mind Spells R3
152	S	+	0	0	0	0	1	1	2	2	2	2	3	Lord of Thunder: Speed R4/R6/R10
152	w	0	0	0	0	0	0	0	0	0	1	1	1	Lord of Thunder: Not Immune Beneficial Mind Spells R3
152	w	A	0	0	0	0	0	0	0	0	0	0	1	Lord of Thunder: Immune to Hostile Air Spells R5
42	S	+	0	0	0	0	0	1	1	1	1	1	2	Imp: Speed R5/R10
42	s	#51	0	1	1	1	1	2	2	2	3	3	3	Imp: Fortune R1/R5/R8  (Expert R8)
43	S	+	0	0	0	0	0	1	1	1	1	1	2	Familiar: Speed R5/R10
43	f	F	2	2	2	2	2	2	2	2	2	2	1	Familiar: Flying R10
43	s	#51	0	1	1	1	1	2	2	2	3	3	3	Familiar: Fortune R1/R5/R8 (Expert R8)
44	S	+	0	0	0	0	1	1	1	1	1	1	1	Gog: Speed R4
44	i	=	0	0	0	0	0	0	0	0	0	0	1	Gog: No Range Penalty R8
45	S	+	0	0	0	0	1	1	1	1	1	1	2	Magog: Speed R4/R10
45	s	#31	0	0	0	0	0	0	0	0	0	0	1	Magog: Protection from Fire R5 (30% Resistance)
45	p	#21	0	5	10	15	20	25	30	35	40	45	50	Magog: Fireball pre-attack 5%/Rank
46	S	+	0	0	0	0	1	1	1	1	1	1	2	Hell Hound: Speed R4/R10
46	h	#4	0	0	0	0	0	0	1	2	3	4	5	Hell Hound: Hatred Dmg-Griffin (50% R10)
47	S	+	0	0	0	0	1	1	1	1	1	1	2	Cerberus: Speed R4/R10
47	R	+	0	0	0	0	0	1	1	1	2	2	2	Cerberus: Retaliate Twice R8/R9/R10
47	h	#5	0	0	0	0	0	0	1	2	3	4	5	Cerberus: Hatred Dmg-Royal Griffin (50% R10)
48	S	+	0	0	0	0	1	1	1	1	1	1	1	Demon: Speed R4
48	L	#74	0	1	2	3	4	5	10	15	20	25	30	Demon: Deflect 75% of Dmg. (30% R10)
49	S	+	0	0	0	0	1	1	1	1	1	1	2	Horned Demon: Speed R4/R10
49	L	#74	0	1	2	3	4	5	10	15	20	25	30	Horned Demon: Deflect 75% of Dmg. (30% R10)
49	f	f	0	0	0	0	0	0	0	0	0	0	1	Horned Demon: Fearless R8
50	S	+	0	0	0	0	1	1	1	1	1	1	2	Pit Fiend: Speed R4/R10
50	u	#48	0	0	0	10	10	15	15	20	20	25	25	Pit Fiend: Summon Demons round 2 R3/R5/R7/R9
51	S	+	0	0	0	0	1	1	1	1	1	1	2	Pit Lord: Speed R4/R10
51	w	m	0	0	0	0	0	0	0	0	0	0	1	Pit Lord: Immune to Hostile Mind Spells R6
51	u	#49	0	0	0	5	5	10	10	15	15	20	20	Pit Lord: Summon Horned Demons round 2 R3/R5/R7/R9
52	S	+	0	0	0	0	1	1	1	1	1	1	2	Efreet: Speed R4/R10
52	s	#29	0	0	0	0	0	0	0	0	1	2	3	Efreet: Fire Shield R8/R9/R10 (Expert at R10)
53	S	+	0	0	0	0	1	1	2	2	2	2	3	Efreet Sultan: Speed R4/R6/R10
53	w	0	0	0	0	0	0	0	0	0	0	0	1	Efreet Sultan: Not Immune Beneficial Fire Spells R5
54	S	+	0	0	0	0	0	1	1	2	2	3	3	Devil: Speed R5/R7/R9
54	p	#52	0	5	10	15	20	25	30	35	40	45	50	Devil: Mass Misfortune pre-attack 5%/Rank
54	f	f	0	0	0	0	0	0	0	0	0	0	1	Devil: Fearless R5
55	S	+	0	0	0	0	0	1	1	2	2	3	4	Arch Devil: Speed R5/R7/R9/R10
55	f	f	0	0	0	0	0	0	0	0	0	0	1	Arch Devil: Fearless R5
153	S	+	0	0	0	0	0	1	2	2	3	4	5	Antichrist: Speed R5/R6/R8/R9/R10
153	p	#50	0	5	10	15	20	25	30	35	40	45	50	Antichrist: Mass Sorrow pre-attack 5%/Rank
56	S	+	0	0	0	0	0	0	0	0	1	1	1	Skeleton: Speed R8
56	s	#28	0	0	0	1	1	1	2	2 	2	2	2	Skeleton: Air Shield R3/R6
57	S	+	0	0	0	0	0	0	0	0	1	1	1	Skeleton Warrior: Speed R8
57	s	#28	0	0	0	1	1	1	2	2	2	2	2	Skeleton Warrior: Air Shield R3/R6
57	w	p	0	0	0	0	0	0	0	0	0	0	1	Skeleton Warrior: Immune to Hostile Dispels R9
58	S	+	0	0	0	0	1	1	1	1	1	1	1	Walking Dead: Speed R4
58	K	#54	0	5	10	15	20	25	30	35	40	45	50	Walking Dead: Advanced Slow after attack 5%/Rank
58	w	1	0	0	0	0	0	0	0	0	0	0	1	Walking Dead: Immune to Hostile L1 Spells R5
59	S	+	0	0	0	0	1	1	1	1	1	1	1	Zombie: Speed R4
59	c	#73	0	8	16	24	32	40	48	56	64	72	80	Zombie: Disease +8%/Rank
59	w	1	0	0	0	0	0	0	0	0	0	0	1	Zombie: Immune to Hostile L1 Spells R5
60	S	+	0	0	0	0	1	1	1	1	1	1	1	Wight: Speed R4
60	J	#45	0	5	10	15	20	25	30	35	40	45	50	Wight: Advanced Weakness pre-attack 5%/Rank
61	S	+	0	0	0	0	1	1	1	1	1	1	2	Wraith: Speed R4/R10
61	p	#52	0	5	10	15	20	25	30	35	40	45	50	Wraith: Mass Misfortune pre-attack 5%/Rank
62	S	+	0	0	0	0	1	1	1	1	1	1	2	Vampire: Speed R4/R10
62	b	=	0	5	10	15	20	25	30	35	40	45	50	Vampire: Reduce Target's Defense 5%/Rank
63	S	+	0	0	0	0	1	1	1	1	1	1	2	Vampire Lord: Speed R4/R10
63	a	#60	0	2	4	6	8	10	12	14	16	18	20	Vampire Lord: Hypnotize 2%/Rank
64	S	+	0	0	0	0	1	1	1	1	1	1	2	Lich: Speed R4/R10
64	p	#24	0	5	10	15	20	25	30	35	40	45	50	Lich: Death Ripple pre-attack 5%/Rank
64	w	2	0	0	0	0	0	0	0	0	0	0	1	Lich: Immune to L2 Spells R9
64	h	#34	0	1	2	3	4	5	6	7	8	9	10	Lich: Hatred Dmg-Mage
65	S	+	0	0	0	0	1	1	1	1	1	1	2	Power Lich: Speed R4/R10
65	p	#24	0	5	10	15	20	25	30	35	40	45	50	Power Lich: Death Ripple pre-attack 5%/Rank
65	w	2	0	0	0	0	0	0	0	0	0	0	1	Power Lich: Immune to L2 Spells R9
65	h	#35	0	1	2	3	4	5	6	7	8	9	10	Power Lich: Hatred Dmg-Arch Mage
66	S	+	0	0	0	0	1	1	1	1	1	1	2	Black Knight: Speed R4/R10
66	a	#78	0	10	20	30	40	50	60	70	80	90	100	Black Knight: Dispel Beneficial Spells 10%/Rank
66	h	#10	0	1	2	3	4	5	6	7	8	9	10	Dread Knight: Hatred Dmg-Cavalier
67	S	+	0	0	0	0	1	1	1	1	1	1	2	Dread Knight: Speed R4/R10
67	a	#78	0	10	20	30	40	50	60	70	80	90	100	Dread Knight: Dispel Beneficial Spells 10%/Rank
67	h	#11	0	1	2	3	4	5	6	7	8	9	10	Dread Knight: Hatred Dmg-Champion
68	S	+	0	0	0	0	1	1	1	1	1	1	2	Bone Dragon: Speed R4/R10
68	w	E	0	0	0	0	0	0	0	0	0	0	1	Bone Dragon: Immune to Hostile Earth Spells R9
69	S	+	0	0	0	0	1	1	2	2	2	2	3	Ghost Dragon: Speed R4/R6/R10
69	c	#75	0	8	16	24	32	40	48	56	64	72	80	Ghost Dragon: Aging +8%/Rank
69	w	E	0	0	0	0	0	0	0	0	0	1	1	Ghost Dragon: Immune to Hostile Earth Spells R9
154	S	+	0	0	0	0	1	1	2	2	2	2	3	Blood Dragon: Speed R4/R6/R10
154	c	#75	0	8	16	24	32	40	48	56	64	72	80	Blood Dragon: Aging +8%/Rank
154	w	F	0	0	0	0	0	0	0	0	0	0	1	Blood Dragon: Immune to Hostile Fire Spells R3
154	w	E	0	0	0	0	0	0	0	0	1	1	1	Blood Dragon: Immune to Hostile Earth Spells R9
70	S	+	0	0	0	0	1	1	1	1	1	1	1	Troglodyte: Speed R4
70	c	#54	0	3	6	9	12	15	18	21	24	27	30	Troglodyte: Slow on hit 3%/Rank
71	S	+	0	0	0	0	1	1	1	1	1	1	1	Infernal Troglodyte: Speed R4
71	w	F	0	0	0	0	0	0	0	0	0	0	1	Infernal Troglodyte: Immune to Hostile Fire Spells R7
72	S	+	0	0	0	0	1	1	1	1	1	1	2	Harpy: Speed R4/R10
72	s	#51	0	0	0	0	1	1	1	2	2	2	2	Harpy: Fortune R4/R7
72	c	#42	0	5	10	15	20	25	30	35	40	45	50	Harpy: Curse 5%/Rank
73	S	+	0	0	0	0	1	1	1	1	1	1	2	Harpy Hag: Speed R4/R10
73	s	#51	0	0	0	0	1	1	1	2	2	2	2	Harpy Hag: Fortune R4/R7
73	c	#73	0	5	10	15	20	25	30	35	40	45	50	Harpy Hag: Disease 5%/Rank
74	S	+	0	0	0	0	1	1	1	1	1	1	1	Beholder: Speed R4
74	c	#61	0	5	10	15	20	25	30	35	40	45	50	Beholder: Forgetfulness 5%/Rank
75	S	+	0	0	0	0	1	1	1	1	1	1	2	Evil Eye: Speed R4/R10
75	w	m	0	0	0	0	0	0	0	0	0	0	1	Evil Eye: Immune to Hostile Mind Spells R7
