Mon	B	Mod	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	Comments
-7	A	+	0	1	2	3	4	5	6	7	8	9	10	Default Lvl 7 Attack +1/Rank
-7	D	+	0	1	2	3	4	5	6	7	8	9	10	Default Lvl 7 Defense +1/Rank
-7	M	+	0	1	2	3	4	5	6	7	8	9	10	Default Lvl 7 Max. Damage +1/Rank
-7	m	+	0	1	2	3	4	5	6	7	8	9	10	Default Lvl 7 Min. Damage +1/Rank
0	S	+	0	0	0	0	1	1	1	1	1	1	1	Pikeman: Speed R4
0	f	B	2	2	2	2	2	1	1	1	1	1	1	Pikeman: 2-hex (Breath) Attack R5
0	h	#66	0	0	0	2	2	3	3	4	4	5	6	Pikeman: Hatred Dmg-Black Knight
0	h	#67	0	0	0	2	2	3	3	4	4	5	6	Pikeman: Hatred Dmg-Dread Knight
0	f	f	0	0	0	0	0	1	1	1	1	1	1	Pikeman: Fearless R5
1	S	+	0	0	0	0	1	1	1	1	1	1	1	Halberdier: Speed R4
1	h	#66	0	0	0	2	2	3	3	4	4	5	6	Halberdier: Hatred Dmg-Black Knight
1	h	#67	0	0	0	2	2	3	3	4	4	5	6	Halberdier: Hatred Dmg-Dread Knight
1	L	#64	0	2	4	6	8	10	12	14	16	18	20	Halberdier: Deflect 65% of dmg. 2% chance/Rank
1	f	f	0	0	0	0	0	1	1	1	1	1	1	Halberdier: Fearless R5
2	S	+	0	0	0	0	1	1	1	1	1	1	1	Archer: Speed R4
2	o	=	0	0	0	1	1	1	1	1	1	1	1	Archer: No Obstacle Penalty R3
2	b	=	0	4	8	12	16	20	24	28	32	36	40	Archer: Reduce Defense 4%/Rank
3	S	+	0	0	0	0	1	1	1	1	1	1	2	Marksman: Speed R4/R10
3	o	=	0	0	0	0	0	1	1	1	1	1	1	Marksman: No Obstacle Penalty R5
3	b	=	0	2	4	6	8	10	12	14	16	18	20	Marksman: Reduce Defense 2%/Rank
4	S	+	0	0	0	0	1	1	1	1	1	1	2	Griffin Speed: R4/R10
4	L	#125	0	6	12	18	24	30	36	42	48	54	60	Griffin: 25% chance to Deflect 6% dmg./Rank
5	S	+	0	0	0	0	1	1	1	1	1	1	2	Royal Griffin: Speed R4/R10
5	L	#125	0	6	12	18	24	30	36	42	48	54	60	Royal Griffin: 25% chance to Deflect 6% dmg./Rank
6	S	+	0	0	0	0	1	1	1	1	1	1	1	Swordsman: Speed R4
6	e	=	0	5	10	15	20	25	30	35	40	45	50	Swordsman: Death Blow 5%/Rank
6	f	f	0	0	0	0	0	1	1	1	1	1	1	Swordsman: Fearless R5
7	S	+	0	0	0	0	1	1	1	1	1	1	2	Crusader: Speed R4/R10
7	e	=	0	2	5	7	10	12	15	17	20	22	25	Crusader: Death Blow 2.5%/Rank
7	h	#62	0	1	2	3	4	5	6	7	8	9	10	Crusader: Hatred Dmg-Vampire
7	h	#63	0	1	2	3	4	5	6	7	8	9	10	Crusader: Hatred Dmg-Vampire Lord
8	S	+	0	0	0	0	1	1	1	1	1	1	1	Monk: Speed R4
8	w	m	0	0	0	1	1	1	1	1	1	1	1	Monk: Immune to Hostile Mind Spells R3
8	r	#100	0	0	0	0	0	50	50	50	50	50	50	Monk: Regeneration-50 50% R5
8	g	%	0	3	6	9	12	15	21	24	27	30	33	Monk: Reduced Spell Damage 3%/Rank
8	h	#64	0	0	0	0	0	0	1	2	3	4	5	Monk: Hatred Dmg-Lich (50% at R10)
8	h	#65	0	0	0	0	0	0	1	2	3	4	5	Monk: Hatred Dmg-Power Lich (50% at R10)
8	h	#222	0	0	0	0	0	0	1	2	3	4	5	Monk: Hatred Dmg-Lich King(50% at R10)
9	S	+	0	0	0	0	1	1	1	1	1	1	2	Zealot: Speed R4/R10
9	w	m	0	0	0	1	1	1	1	1	1	1	1	Zealot: Immune to Hostile Mind Spells R3
9	r	#100	0	0	0	0	0	50	50	50	50	50	50	Zealot: Regeneration-50 50% R5
9	g	%	0	3	6	9	12	15	21	24	27	30	33	Zealot: Reduced Spell Damage 3%/Rank
9	h	#64	0	0	0	0	0	0	1	2	3	4	5	Zealot: Hatred Dmg-Lich (50% at R10)
9	h	#65	0	0	0	0	0	0	1	2	3	4	5	Zealot: Hatred Dmg-Power Lich (50% at R10)
9	h	#222	0	0	0	0	0	0	1	2	3	4	5	Zealot: Hatred Dmg-Lich King(50% at R10)
10	S	+	0	0	0	0	1	1	1	1	1	1	2	Cavalier: Speed 40/100%
10	f	b	0	0	0	1	1	1	1	1	1	1	1	Cavalier: Strike & Return R3
10	s	#55	0	0	0	0	0	0	0	1	2	3	3	Cavalier: Slayer R7/R8/R9
10	f	f	0	0	0	0	0	1	1	1	1	1	1	Cavalier: Fearless R5
11	S	+	0	0	0	0	1	1	1	1	1	1	2	Champion: Speed R4/R10
11	f	R	2	2	2	2	2	1	1	1	1	1	1	Champion: No Retaliation R5
11	s	#55	0	0	0	0	0	0	0	1	2	3	3	Champion: Slayer R7/R8/R9
11	f	f	0	0	0	1	1	1	1	1	1	1	1	Champion: Fearless R3
12	S	+	0	0	0	0	1	1	2	2	2	2	3	Angel: Speed R4/R6/R10
12	w	R	0	0	0	1	1	1	1	1	1	1	1	Angel: Immune to Armageddon R3
12	w	m	0	0	0	0	0	0	0	1	1	1	1	Angel: Immune to Hostile Mind Spells R7
12	W	+	0	0	0	0	0	0	10	20	30	40	50	Angel: Magic Resistance R6 10%/Rank
12	f	u	0	0	0	0	0	0	0	1	1	1	1	Angel: Aura of Resistance
12	f	f	0	0	0	0	0	1	1	1	1	1	1	Angel: Fearless R5
12	w	W	0	0	0	0	0	0	0	1	1	1	1	Angel: Immune to Hostile Water Spells R7
13	S	+	0	0	0	0	1	1	2	2	2	2	3	Archangel: Speed R4/R6/R10
13	f	f	0	0	0	0	0	1	1	1	1	1	1	Archangel: Fearless R5
13	w	W	0	0	0	0	0	0	0	1	1	1	1	Archangel: Immune to Hostile Water Spells R7
13	w	R	0	0	0	1	1	1	1	1	1	1	1	Archangel: Immune to Armageddon R3
13	w	m	0	0	0	0	0	0	0	0	1	1	1	Archangel: Immune to Hostile Mind Spells R8
13	W	+	0	0	0	0	0	0	10	20	30	40	50	Archangel: Magic Resistance R6 10%/Rank
13	P	+	0	0	0	0	0	0	0	1	1	1	1	Archangel: Extra Resurrection R7
150	S	+	0	0	0	0	1	1	2	2	3	3	4	Supreme Archangel: Speed R4/R6/R8/R10
150	w	R	0	0	0	1	1	1	1	1	1	1	1	Supreme Archangel: Immune to Armageddon R3
150	w	m	0	0	0	0	0	0	0	0	1	1	1	Supreme Archangel: Immune to Hostile Mind Spells R8
150	W	+	0	0	0	0	0	0	10	20	30	40	50	Supreme Archangel: Magic Resistance R6 10%/Rank
150	P	+	0	0	0	0	0	0	0	1	1	1	1	Supreme Archangel: Extra Resurrection R7
150	w	W	0	0	0	0	0	0	0	1	1	1	1	Supreme Archangel: Immune to Hostile Water Spells R7
14	A	+	0	0	1	1	1	1	2	2	3	3	3	Centaur: Attack R2/R6/R8
14	D	+	0	0	0	1	1	1	1	1	1	1	1	Centaur: Defense R3
14	M	+	0	1	1	1	1	2	2	2	2	2	2	Centaur: Max. Damage R1/R5
14	m	+	0	0	0	0	0	1	1	1	1	2	2	Centaur: Min. Damage R5/R9
14	S	+	0	0	0	0	1	1	1	1	1	1	2	Centaur: Speed R4/R10
14	h	#98	0	2	4	6	8	10	12	14	16	18	20	Centaur: Hatred Dmg-Gnoll
14	h	#99	0	2	4	6	8	10	12	14	16	18	20	Centaur Captain: Hatred Dmg-Gnoll Marauder
15	A	+	0	0	0	1	1	1	2	2	2	2	2	Centaur Captain: Attack R3/R6
15	D	+	0	1	1	1	1	1	1	2	2	3	4	Centaur Captain: Defense R1/R7/R9/R10
15	M	+	0	0	0	0	0	1	1	1	2	2	2	Centaur Captain: Max. Damage R5/R8
15	m	+	0	0	1	1	1	1	1	1	1	1	1	Centaur Captain: Min. Damage R2
15	S	+	0	0	0	0	1	1	1	1	1	1	2	Centaur Captain: Speed R4/R10
15	f	c	0	0	0	0	0	0	0	1	1	1	1	Centaur Captain: Charge Bonus R7
15	h	#98	0	2	4	6	8	10	12	14	16	18	20	Centaur: Hatred Dmg-Gnoll
15	h	#99	0	2	4	6	8	10	12	14	16	18	20	Centaur Captain: Hatred Dmg-Gnoll Marauder
16	H	%	0	6	12	18	24	30	36	42	48	54	60	Dwarf: Health 6%/Rank (instead of 5%)
16	A	+	0	0	1	1	1	2	2	3	3	3	3	Dwarf: Attack R2/R5/R7
16	D	+	0	1	1	1	1	1	3	3	3	4	4	Dwarf: Defense R1/R6/R9
16	M	+	0	0	0	1	1	1	1	2	3	3	3	Dwarf: Max. Damage R3/R7/R8
16	m	+	0	0	0	0	1	1	1	2	2	3	3	Dwarf: Min. Damage R4/R7/R9
16	S	+	0	0	0	0	1	1	1	1	1	1	2	Dwarf: Speed R4/R10
16	s	#27	0	0	0	0	0	0	0	1	1	1	2	Dwarf: Shield R7/R10
16	W	+	0	3	6	9	12	15	18	21	24	27	30	Dwarf: Magic Resistance +3%/Rank
17	H	%	0	7	14	21	28	35	42	49	56	63	70	Battle Dwarf: Health 7%/Rank (instead of 5%)
17	A	+	0	0	1	1	2	2	2	3	4	4	5	Battle Dwarf: Attack R2/R4/R7/R8/R10
17	D	+	0	1	1	1	1	1	2	2	3	4	4	Battle Dwarf: Defense R1/R6/R8/R9
17	M	+	0	0	0	1	1	2	2	2	3	3	3	Battle Dwarf: Max. Damage R3/R5/R8
17	m	+	0	0	0	1	1	2	2	3	3	3	3	Battle Dwarf: Min. Damage R3/R5/R7
17	S	+	0	0	0	0	1	1	1	1	1	1	1	Battle Dwarf: Speed R4
17	W	+	0	4	8	12	16	20	24	28	32	36	40	Battle Dwarf: Magic Resistance +4%/Rank
18	A	+	0	2	2	2	3	3	4	4	4	5	5	Wood Elf: Attack R1/R4/R6/R9
18	D	+	0	0	1	1	1	1	1	3	3	3	3	Wood Elf: Defense: R2/R7
18	M	+	0	0	1	2	2	4	4	4	5	6	6	Wood Elf: Max. Damage R2/R3/R5/R8/R9
18	m	+	0	0	0	1	1	1	2	2	4	4	4	Wood Elf: Min. Damage R3/R6/R8
18	S	+	0	0	0	0	1	1	1	2	2	2	3	Wood Elf: Speed R4/R7/R10
18	i	=	0	0	0	0	0	1	1	1	1	1	1	Wood Elf: No Range Penalty R5
18	o	=	0	0	0	0	0	0	0	0	0	0	1	Wood Elf: No Obstacle Penalty R10
18	h	#88	0	1	2	3	4	5	5	5	5	5	5	Wood Elf: Hatred Dmg-Orc
18	h	#89	0	1	2	3	4	5	5	5	5	5	5	Grand Elf: Hatred Dmg-Orc Chieftain
19	A	+	0	1	2	2	2	3	3	3	4	4	4	Grand Elf: Attack R1/R2/R5/R8
19	D	+	0	1	1	3	3	3	4	4	5	5	6	Grand Elf: Defense R1/R3/R6/R8/R10
19	M	+	0	0	1	1	1	1	2	2	3	4	5	Grand Elf: Max. Damage R2/R6/R8/R9/R10
19	m	+	0	0	0	0	2	2	3	3	4	5	5	Grand Elf: Min. Damage R4/R6/R8/R9
19	S	+	0	0	0	0	1	1	1	1	1	1	2	Grand Elf: Speed R4/R10
19	w	m	0	0	0	0	0	0	0	1	1	1	1	Grand Elf: Immune to Hostile Mind Spells R7
19	s	#44	0	0	0	0	0	1	1	1	1	1	1	Grand Elf: Precision R5
19	h	#88	0	1	2	3	4	5	5	5	5	5	5	Wood Elf: Hatred Dmg-Orc
19	h	#89	0	1	2	3	4	5	5	5	5	5	5	Grand Elf: Hatred Dmg-Orc Chieftain
20	A	+	0	2	2	2	2	3	4	5	6	7	8	Pegasus: Attack R1/R5/R6/R7/R8/R9/R10
20	D	+	0	0	1	1	3	3	4	4	5	5	7	Pegasus: Defense R2/R4/R6/R8/R10
20	M	+	0	0	1	2	2	2	2	3	3	4	4	Pegasus: Max. Damage R2/R3/R7/R9
20	m	+	0	0	1	1	2	2	2	3	3	3	3	Pegasus: Min. Damage R2/R4/R7
20	S	+	0	0	0	0	1	1	1	2	2	2	3	Pegasus: Speed R4/R7/R10
20	f	D	2	2	2	2	2	2	2	1	1	1	1	Pegasus: Double Strike R7
21	A	+	0	0	1	2	2	2	4	4	5	7	7	Silver Pegasus: Attack R2/R3/R6/R8/R9
21	D	+	0	2	2	2	3	3	4	4	5	5	7	Silver Pegasus: Defense R1/R4/R6/R8/R10
21	M	+	0	0	2	2	2	4	4	4	5	5	5	Silver Pegasus: Max. Damage R2/R5/R8
21	m	+	0	0	0	1	1	2	2	4	4	5	5	Silver Pegasus: Min. Damage R3/R5/R7/R9
21	S	+	0	0	0	0	1	1	2	2	2	2	3	Silver Pegasus: Speed R4/R6/R10
21	f	b	0	0	0	0	0	1	1	1	1	1	1	Silver Pegasus: Attack & Return R5
21	f	R	2	2	2	2	2	2	2	2	2	2	1	Silver Pegasus: No Retaliation R10
22	A	+	0	0	1	2	2	4	4	5	5	6	7	Dendroid Guard: Attack R2/R3/R5/R7/R9/R10
22	D	+	0	2	3	3	4	4	7	7	9	9	10	Dendroid Guard: Defense R1/R2/R4/R6/R8/R10
22	M	+	0	1	2	2	3	3	3	3	4	5	6	Dendroid Guard: Max. Damage R1/R2/R4/R8/R9/R10
22	m	+	0	0	2	2	2	4	4	6	6	7	7	Dendroid Guard: Min. Damage R2/R5/R7/R9
22	S	+	0	0	0	0	1	1	1	1	1	1	1	Dendroid Guard: Speed R4
22	r	#100	0	5	10	15	20	25	30	35	40	45	50	Dendroid Guard: Regeneration 5 Health/Rank 100%
22	w	E	0	0	0	0	0	0	0	0	0	0	1	Dendroid Guard: Immune to Hostile Earth Spells R10
23	A	+	0	2	3	3	4	6	6	7	7	7	9	Dendroid Soldier: Attack R1/R2/R4/R5/R7/R10
23	D	+	0	1	1	2	3	4	5	6	6	8	8	Dendroid Soldier: Defense R1/R3/R4/R5/R6/R7/R9
23	M	+	0	0	2	2	2	2	3	4	6	6	6	Dendroid Soldier: Max. Damage R2/R6/R7/R8
23	m	+	0	0	0	2	2	2	4	4	5	5	5	Dendroid Soldier: Min. Damage R3/R6/R8
23	S	+	0	0	0	0	0	1	1	1	1	1	2	Dendroid Soldier: Speed R5/R10
23	b	=	0	4	8	12	16	20	24	28	32	36	40	Dendroid Soldier: Reduce Enemy Defence 4%/Rank
23	w	E	0	0	0	0	0	0	0	0	0	0	1	Dendroid Soldier: Immune to Hostile Earth Spells R10
24	A	+	0	0	2	2	4	4	4	6	7	9	9	Unicorn: Attack R2/R4/R7/R8/R9
24	D	+	0	3	3	4	4	6	8	8	9	10	10	Unicorn: Defense R1/R3/R5/R6/R8/R9
24	M	+	0	0	1	3	3	3	3	5	6	6	8	Unicorn: Max. Damage R2/R3/R7/R8/R10
24	m	+	0	0	1	1	1	3	4	4	5	6	8	Unicorn: Min. Damage R2/R5/R6/R8/R9/R10
24	S	+	0	0	0	0	1	1	1	1	1	1	2	Unicorn: Speed R4/R10
24	p	#37	0	0	0	5	5	10	10	15	15	15	20	Unicorn: Mass Cure pre-attack 5%-20% chance
24	f	f	0	0	0	0	0	0	1	1	1	1	1	Unicorn: Fearless R6
25	A	+	0	1	2	2	2	4	7	7	9	10	11	War Unicorn: Attack R1/R2/R5/R6/R8/R9/R10
25	D	+	0	1	1	3	3	5	5	5	6	6	8	War Unicorn: Defense R1/R3/R5/R8/R10
25	M	+	0	0	2	2	4	4	4	6	7	9	9	War Unicorn: Max. Damage R2/R4/R7/R8/R9
25	m	+	0	1	2	4	4	4	4	6	6	7	7	War Unicorn: Min. Damage R1/R2/R3/R7/R9
25	S	+	0	0	0	0	1	1	1	1	1	1	2	War Unicorn: Speed R4/R10
25	a	#62	0	0	5	5	10	10	15	15	20	25	30	War Unicorn: Blind bonus R2/R4/R6/R8/R9/R10
25	f	f	0	0	0	0	0	0	1	1	1	1	1	War Unicorn: Fearless R6
26	A	+	0	1	2	2	4	5	5	7	7	7	9	Green Dragon: Attack R1/R2/R4/R5/R7/R10
26	D	+	0	2	2	4	4	7	7	9	9	11	11	Green Dragon: Defense R1/R3/R5/R7/R9
26	M	+	0	1	3	4	5	5	7	7	9	11	11	Green Dragon: Max. Damage R1/R2/R3/R4/R6/R8/R9
26	m	+	0	0	1	2	2	2	3	4	6	7	9	Green Dragon: Min. Damage R2/R3/R6/R7/R8/R9/R10
26	S	+	0	0	0	0	1	1	2	2	2	2	3	Green Dragon: Speed R4/R6/R10
26	R	+	0	0	0	0	0	1	1	1	1	1	2	Green Dragon: Extra Retaliations R5/R10
26	h	#68	0	2	4	6	8	10	12	14	16	18	20	Green Dragon: Hatred Dmg-Bone Dragon 20%/Rank
26	h	#69	0	2	4	6	8	10	12	14	16	18	20	Green Dragon: Hatred Dmg-Ghost Dragon 20%/Rank
26	f	f	0	0	0	0	0	1	1	1	1	1	1	Green Dragon: Fearless R5
26	w	0	0	0	0	0	0	0	0	1	1	1	1	Green Dragon: No Immunity to Beneficial Spells R7
27	A	+	0	1	2	2	4	5	7	7	9	11	12	Gold Dragon: Attack R1/R2/R4/R5/R6/R8/R9/R10
27	D	+	0	1	1	3	3	5	5	7	7	8	9	Gold Dragon: Defense R1/R3/R5/R7/R9/R10
27	M	+	0	1	3	4	4	5	7	7	9	9	9	Gold Dragon: Max. Damage R1/R2/R3/R5/R6/R8
27	m	+	0	1	2	3	4	5	5	7	7	8	10	Gold Dragon: Min. Dmg R1/R2/R3/R4/R5/R7/R9/R10
27	S	+	0	0	0	0	1	1	2	2	2	2	3	Gold Dragon: Speed R4/R6/R10
27	h	#68	0	2	4	6	8	10	12	14	16	18	20	Gold Dragon: Hatred Dmg-Bone Dragon 20%/Rank
27	h	#69	0	2	4	6	8	10	12	14	16	18	20	Gold Dragon: Hatred Dmg-Ghost Dragon 20%/Rank
27	f	f	0	0	0	0	0	1	1	1	1	1	1	Gold Dragon: Fearless R5
27	w	0	0	0	0	0	0	0	0	1	1	1	1	Gold Dragon: No Immunity to Beneficial Spells R7
192	S	+	0	0	0	0	1	1	1	1	1	1	2	Sylvan Centaurs: Speed R4/R10
192	w	1	0	0	0	0	0	0	1	1	1	1	1	Sylvan Centaur: Immune to Hostile L1 Spells R6
151	S	+	0	0	0	0	1	1	2	2	2	2	3	Diamond Dragon: Speed R4/R6/R10
151	L	#200	0	5	10	15	20	25	30	35	40	45	50	Diamond Dragon: Deflect 100% chance 5%/Rank
151	f	u	0	0	0	0	0	0	0	1	1	1	1	Diamond Dragon: Aura of Resistance R7
151	h	#154	0	2	4	6	8	10	12	14	16	18	20	Diamond Dragon: Hatred Dmg-Blood Dragon 20%/Rank
151	w	0	0	0	0	0	0	0	0	0	0	1	1	Diamond Dragon: No Immunity to Friendly Spells R9
28	S	+	0	0	0	0	1	1	1	1	1	1	1	Gremlin: Speed R4
28	h	#42	0	1	2	3	4	5	5	5	5	5	5	Gremlin: Hatred Dmg-Imp (50% R10)
28	h	#43	0	1	2	3	4	5	5	5	5	5	5	Master Gremlin: Hatred Dmg-Familiar (50% R10)
28	J	#11	0	5	10	15	20	25	30	35	40	45	50	Gremlin: Landmine pre-attack 5%/Rank
29	S	+	0	0	0	0	1	1	1	1	1	1	1	Master Gremlin: Speed R4
29	h	#42	0	1	2	3	4	5	5	5	5	5	5	Gremlin: Hatred Dmg-Imp (50% R10)
29	h	#43	0	1	2	3	4	5	5	5	5	5	5	Master Gremlin: Hatred Dmg-Familiar (50% R10)
29	O	+	0	1	2	3	4	5	6	7	8	9	10	Master Gremlin: +1 Shot/Rank
29	J	#11	0	5	10	15	20	25	30	35	40	45	50	Master Gremlin: Landmine pre-attack 5%/Rank
30	S	+	0	0	0	0	1	1	1	1	1	1	2	Stone Gargoyle: Speed R4/R10
30	s	#46	0	0	0	1	1	2	2	2	2	5	5	"Stone Gargoyle: Stone Skin R3/R5, Mass R9"
30	w	E	0	0	0	0	0	0	0	1	1	1	1	Stone Gargoyle: Immune to Hostile Earth Spells R7
31	S	+	0	0	0	0	1	1	1	1	1	1	2	Obsidian Gargoyle: Speed R4/R10
31	s	#46	0	0	0	1	1	2	2	2	2	5	5	"Obsidian Gargoyle: Stone Skin R3/R5, Mass R9"
31	w	E	0	0	0	0	0	0	0	1	1	1	1	Obsidian Gargoyle: Immune to Hostile Earth Spells R7
32	S	+	0	0	0	0	1	1	1	1	1	1	1	Stone Golem: Speed R4
32	f	R	2	2	2	2	2	1	1	1	1	1	1	Stone Golem: No Retaliation R5
32	g	%	50	54	58	62	66	70	74	78	82	86	90	Stone Golem: Reduced Spell Damage +4%/Rank
33	S	+	0	0	0	0	1	1	1	1	1	1	1	Iron Golem: Speed R4
33	f	R	2	2	2	2	2	1	1	1	1	1	1	Iron Golem: No Retaliation R5
33	g	%	75	77	79	81	83	85	87	89	91	93	95	Iron Golems: Reduced Spell Damage +2%/Rank
34	S	+	0	0	0	0	1	1	1	1	1	1	1	Mage: Speed R4
34	C	+	0	0	0	0	0	1	1	2	2	3	4	Mage: Mana Reduction R5/R7/R9/R10
35	S	+	0	0	0	0	1	1	1	1	1	1	2	Arch Mage: Speed R40/R10
35	C	+	0	0	0	0	0	1	1	2	2	3	4	Arch Mage: Mana Reduction R5/R7/R9/R10
36	S	+	0	0	0	0	1	1	1	1	1	1	2	Genie: Speed R4/R10
36	h	#52	5	6	7	8	9	10	12	14	16	18	20	Genie: Hatred Dmg-Efreet (200% R10)
36	h	#53	5	6	7	8	9	10	12	14	16	18	20	Genie: Hatred Dmg-Efreet Sultan (200% R10)
36	w	B	0	0	0	1	1	1	1	1	1	1	1	Genie: Blind Immunity R3
36	w	H	0	0	0	0	0	1	1	1	1	1	1	Genie: Hypnotize Immunity R5
36	w	K	0	0	0	0	0	0	0	1	1	1	1	Genie: Berserk Immunity R7
37	S	+	0	0	0	0	1	1	2	2	2	2	3	Master Genie: Speed at 40/60/100%
37	P	+	0	0	0	0	0	1	1	2	2	3	3	Master Genie: Increased # of Spells R5/R7/R9
37	h	#52	5	6	7	8	9	10	12	14	16	18	20	Master Genie: Hatred Dmg-Efreet (200% R10)
37	h	#53	5	6	7	8	9	10	12	14	16	18	20	Master Genie: Hatred Dmg-Efreet Sultan (200% R10)
37	w	B	0	0	0	1	1	1	1	1	1	1	1	Master Genie: Blind Immunity R3
37	w	H	0	0	0	0	0	1	1	1	1	1	1	Master Genie: Hypnotize Immunity R5
37	w	K	0	0	0	0	0	0	0	1	1	1	1	Master Genie: Berserk Immunity R7
38	S	+	0	0	0	0	1	1	1	1	1	1	1	Naga: Speed R4
38	R	+	0	0	0	0	0	1	1	2	2	3	4	Naga: Extra Retals R5/R7/R9/R10
38	e	+	0	1	2	3	4	5	10	15	20	25	30	Naga: Death Blow (30% R10)
39	S	+	0	0	0	0	1	1	1	1	1	1	2	Naga Queen: Speed R4/R10
39	R	+	0	0	0	0	0	1	1	2	2	3	4	Naga Queen: Extra Retals R5/R7/R9/R10
39	e	+	0	1	2	3	4	5	10	15	20	25	30	Naga Queen: 2 x Dmg Death Blow (30% R10)
40	S	+	0	0	0	0	1	1	1	1	1	1	2	Giant: Speed R4/R10
40	h	#82	5	6	7	8	9	10	12	14	16	18	20	Giant: Hatred Dmg-Red Dragon (200% R10)
40	h	#83	5	6	7	8	9	10	12	14	16	18	20	Titan: Hatred Dmg-Black Dragon (200% R10)
40	W	+	0	5	10	15	20	25	30	35	40	45	50	Giant: Magic Resistance 5%/Rank
40	w	A	0	0	0	0	0	1	1	1	1	1	1	Giant: Hostile Air Spell Immunity R5
40	w	0	0	0	1	1	1	1	1	1	1	1	1	Giant: No Immunity to Beneficial Mind Spells R3
40	f	f	0	0	0	0	0	1	1	1	1	1	1	Giant: Fearless R5
40	f	D	2	2	2	2	2	2	2	1	1	1	1	Giant: Double Strike at R7
41	S	+	0	0	0	0	1	1	2	2	2	2	3	Titan: Speed R4/R6/R10
41	h	#82	5	6	7	8	9	10	12	14	16	18	20	Giant: Hatred Dmg-Red Dragon (200% R10)
41	h	#83	5	6	7	8	9	10	12	14	16	18	20	Titan: Hatred Dmg-Black Dragon (200% R10)
41	W	+	0	5	10	15	20	25	30	35	40	45	50	Titan: Magic Resistance 5%/Rank
41	w	A	0	0	0	0	0	1	1	1	1	1	1	Titan: Immune to Hostile Air Spells R5
41	w	0	0	0	0	1	1	1	1	1	1	1	1	Titan: No Immunity to Beneficial Mind Spells R3
41	o	=	0	0	0	0	0	0	0	1	1	1	1	Titan: No Obstacle Penalty R7
41	i	=	0	0	0	0	0	0	0	0	0	1	1	Titan: No Range Penalty R9
152	S	+	0	0	0	0	1	1	2	2	2	2	3	Lord of Thunder: Speed R4/R6/R10
152	h	#155	5	6	7	8	9	10	12	14	16	18	20	Lord of Thunder: Hatred Dmg-Darkness Dragon
152	W	+	0	5	10	15	20	25	30	35	40	45	50	Lord of Thunder: Magic Resistance 5%/Rank
